model,cluster,metric,n_users,mean_before,mean_after,mean_delta,ci_low,ci_high,significant,improvement_significant,direction,bootstrap_method,formatted_delta_ci
gigchat3,cluster_3,trait_similarity,40,0.7442829623291626,0.7388971287737732,-0.005385833555389405,-0.027174002404001363,0.01630219484703029,False,False,higher_is_better,BCa,"-0.0054 [-0.0272, +0.0163]"
gpt4_mini,cluster_0,answer_similarity,40,0.6536979166666663,0.6566666666666665,0.0029687500000001145,-0.0020833333333330974,0.007447916666666762,False,False,higher_is_better,BCa,"+0.0030 [-0.0021, +0.0074]"
gpt4_mini,cluster_0,facet_similarity,40,0.7426863811013575,0.7408249687766562,-0.0018614123247015029,-0.010594356242036107,0.0033183266920717098,False,False,higher_is_better,BCa,"-0.0019 [-0.0106, +0.0033]"
gpt4_mini,cluster_0,mae_35,40,25.49896411937747,25.82073398848406,0.32176986910659966,-0.20208464326389408,1.1941592622893615,False,False,lower_is_better,BCa,"+0.322 [-0.202, +1.194]"
gpt4_mini,cluster_0,trait_similarity,40,0.758954225035429,0.7475988081461761,-0.011355416889252956,-0.02236813627027716,-0.0022416536040892675,True,False,higher_is_better,BCa,"-0.0114 [-0.0224, -0.0022]"
gpt4_mini,cluster_1,answer_similarity,40,0.6365104166666664,0.6381770833333331,0.0016666666666666301,-0.0010416666666668015,0.004583333333333281,False,False,higher_is_better,BCa,"+0.0017 [-0.0010, +0.0046]"
gpt4_mini,cluster_1,facet_similarity,40,0.7629784136534405,0.7621885809159579,-0.0007898327374826237,-0.0036268281202261787,0.002347806378292414,False,False,higher_is_better,BCa,"-0.0008 [-0.0036, +0.0023]"
gpt4_mini,cluster_1,mae_35,40,23.74618214711196,23.80126806288601,0.055085915774051045,-0.2750248200054486,0.3386671385129662,False,False,lower_is_better,BCa,"+0.055 [-0.275, +0.339]"
gpt4_mini,cluster_1,trait_similarity,40,0.7598967677815169,0.760779750102229,0.0008829823207119781,-0.004038334851858219,0.006288362693993991,False,False,higher_is_better,BCa,"+0.0009 [-0.0040, +0.0063]"
gpt4_mini,cluster_2,answer_similarity,40,0.6876041666666663,0.7104166666666665,0.022812500000000107,0.015468750000000035,0.030260416666666668,True,True,higher_is_better,BCa,"+0.0228 [+0.0155, +0.0303] *"
gpt4_mini,cluster_2,facet_similarity,40,0.7225171288938,0.7498535276421532,0.027336398748353058,0.013614868497767314,0.0418168694224707,True,True,higher_is_better,BCa,"+0.0273 [+0.0136, +0.0418] *"
gpt4_mini,cluster_2,mae_35,40,26.92498401813984,24.77416384609192,-2.1508201720479216,-3.768747645919568,-0.6194649025680335,True,True,lower_is_better,BCa,"-2.151 [-3.769, -0.619] *"
gpt4_mini,cluster_2,trait_similarity,40,0.7801483453674083,0.7666873649206443,-0.013460980446763901,-0.04520760771320875,0.02035991858821128,False,False,higher_is_better,BCa,"-0.0135 [-0.0452, +0.0204]"
gpt4_mini,cluster_3,answer_similarity,40,0.6476041666666663,0.6522916666666664,0.0046874999999999365,-0.00041666666666682846,0.010104166666666603,False,False,higher_is_better,BCa,"+0.0047 [-0.0004, +0.0101]"
gpt4_mini,cluster_3,facet_similarity,40,0.7056111149281777,0.6950753679550519,-0.010535746973125837,-0.016713191625022255,-0.004584365876539839,True,False,higher_is_better,BCa,"-0.0105 [-0.0167, -0.0046]"
gpt4_mini,cluster_3,mae_35,40,28.43324355785295,29.61181093935135,1.1785673814984023,0.5520925372895964,1.7714291789681629,True,False,lower_is_better,BCa,"+1.179 [+0.552, +1.771]"
gpt4_mini,cluster_3,trait_similarity,40,0.7760062613812243,0.7567210265150912,-0.01928523486613301,-0.031130089150224995,-0.005215494055948904,True,False,higher_is_better,BCa,"-0.0193 [-0.0311, -0.0052]"
gpt4_nano,cluster_0,answer_similarity,40,0.6726562499999996,0.6728124999999998,0.00015625000000009381,-0.0029687499999998795,0.0033333333333333565,False,False,higher_is_better,BCa,"+0.0002 [-0.0030, +0.0033]"
gpt4_nano,cluster_0,facet_similarity,40,0.7654891216677318,0.7651067684284726,-0.0003823532392590645,-0.0049241734457427504,0.004575165104977559,False,False,higher_is_better,BCa,"-0.0004 [-0.0049, +0.0046]"
gpt4_nano,cluster_0,mae_35,40,22.892442549231205,22.90160970589433,0.009167156663124797,-0.5018072701293137,0.47421628621950995,False,False,lower_is_better,BCa,"+0.009 [-0.502, +0.474]"
gpt4_nano,cluster_0,trait_similarity,40,0.8045942915474225,0.8062467100165585,0.0016524184691359995,-0.0057783863413174,0.009479755873701926,False,False,higher_is_better,BCa,"+0.0017 [-0.0058, +0.0095]"
gpt4_nano,cluster_1,answer_similarity,40,0.6734374999999997,0.6782812499999997,0.00484375000000008,0.0016666666666666995,0.008229166666666838,True,True,higher_is_better,BCa,"+0.0048 [+0.0017, +0.0082] *"
gpt4_nano,cluster_1,facet_similarity,40,0.7998476093618552,0.8008952262464909,0.0010476168846357409,-0.0031749196132384388,0.005834362383973405,False,False,higher_is_better,BCa,"+0.0010 [-0.0032, +0.0058]"
gpt4_nano,cluster_1,mae_35,40,19.354140882931613,19.135822293367053,-0.2183185895645588,-0.6609569388983355,0.20180405097749554,False,False,lower_is_better,BCa,"-0.218 [-0.661, +0.202]"
gpt4_nano,cluster_1,trait_similarity,40,0.8461244820236538,0.8551210819853587,0.008996599961705085,0.0006072521964107903,0.016891488766970077,True,True,higher_is_better,BCa,"+0.0090 [+0.0006, +0.0169] *"
gpt4_nano,cluster_2,answer_similarity,40,0.6960416666666664,0.6970312499999998,0.0009895833333333048,-0.0037500000000000398,0.0049479166666666335,False,False,higher_is_better,BCa,"+0.0010 [-0.0038, +0.0049]"
gpt4_nano,cluster_2,facet_similarity,40,0.7416870542904241,0.741929858899058,0.00024280460863382037,-0.003891777350531527,0.005075513708064023,False,False,higher_is_better,BCa,"+0.0002 [-0.0039, +0.0051]"
gpt4_nano,cluster_2,mae_35,40,25.546938580530565,25.355291069985178,-0.1916475105453837,-0.7096230255422062,0.24802766230775022,False,False,lower_is_better,BCa,"-0.192 [-0.710, +0.248]"
gpt4_nano,cluster_2,trait_similarity,40,0.7615919736203128,0.7735504717066869,0.011958498086374083,0.0026896702458452156,0.02373071592735449,True,True,higher_is_better,BCa,"+0.0120 [+0.0027, +0.0237] *"
gpt4_nano,cluster_3,answer_similarity,40,0.6695312499999997,0.6696354166666664,0.00010416666666665242,-0.003802083333333338,0.0040624999999999585,False,False,higher_is_better,BCa,"+0.0001 [-0.0038, +0.0041]"
gpt4_nano,cluster_3,facet_similarity,40,0.7234251204744001,0.7245823423346577,0.0011572218602575735,-0.0038194960997867877,0.006026061903483419,False,False,higher_is_better,BCa,"+0.0012 [-0.0038, +0.0060]"
gpt4_nano,cluster_3,mae_35,40,27.289916167068007,27.042201949824126,-0.24771421724387946,-0.7659385923315849,0.2336920565780664,False,False,lower_is_better,BCa,"-0.248 [-0.766, +0.234]"
gpt4_nano,cluster_3,trait_similarity,40,0.7491551454588357,0.7595518095043621,0.010396664045526385,0.002401338169618094,0.021547634865268048,True,True,higher_is_better,BCa,"+0.0104 [+0.0024, +0.0215] *"
grok4.1_fast,cluster_0,answer_similarity,40,0.5972916666666664,0.5982812499999998,0.000989583333333352,-0.004895833333333351,0.0054166666666666495,False,False,higher_is_better,BCa,"+0.0010 [-0.0049, +0.0054]"
grok4.1_fast,cluster_0,facet_similarity,40,0.7194675169137236,0.7157395543666226,-0.0037279625471009796,-0.011873379718739805,0.0025736053682516107,False,False,higher_is_better,BCa,"-0.0037 [-0.0119, +0.0026]"
grok4.1_fast,cluster_0,mae_35,40,28.13161155372339,28.510134939872774,0.37852338614939063,-0.3364846486514337,1.317618303894392,False,False,lower_is_better,BCa,"+0.379 [-0.336, +1.318]"
grok4.1_fast,cluster_0,trait_similarity,40,0.7139820897570186,0.7098532280091675,-0.004128861747851198,-0.02628902115014662,0.015174268475993706,False,False,higher_is_better,BCa,"-0.0041 [-0.0263, +0.0152]"
grok4.1_fast,cluster_1,answer_similarity,40,0.5858854166666664,0.5829166666666664,-0.0029687499999999424,-0.007916666666666641,0.001666666666666786,False,False,higher_is_better,BCa,"-0.0030 [-0.0079, +0.0017]"
grok4.1_fast,cluster_1,facet_similarity,40,0.7305510506844053,0.7246030102383862,-0.005948040446019045,-0.011640184852557897,-0.0004824624280900514,True,False,higher_is_better,BCa,"-0.0059 [-0.0116, -0.0005]"
grok4.1_fast,cluster_1,mae_35,40,27.030336495841965,27.472636404642053,0.44229990880008696,-0.10308346003590613,1.0157275354290622,False,False,lower_is_better,BCa,"+0.442 [-0.103, +1.016]"
grok4.1_fast,cluster_1,trait_similarity,40,0.7245701411846276,0.7292973902447354,0.00472724906010781,-0.0026909505403839807,0.015267023299391256,False,False,higher_is_better,BCa,"+0.0047 [-0.0027, +0.0153]"
grok4.1_fast,cluster_2,answer_similarity,39,0.6577991452991451,0.6574786324786321,-0.00032051282051284214,-0.00641025641025638,0.007051282051282044,False,False,higher_is_better,BCa,"-0.0003 [-0.0064, +0.0071]"
grok4.1_fast,cluster_2,facet_similarity,39,0.6954875430577763,0.6998668418242078,0.004379298766431576,-0.005349664843818943,0.01224370057736579,False,False,higher_is_better,BCa,"+0.0044 [-0.0053, +0.0122]"
grok4.1_fast,cluster_2,mae_35,39,30.014445901766937,29.59906581312062,-0.41538008864631365,-1.257991844116918,0.5900100570138119,False,False,lower_is_better,BCa,"-0.415 [-1.258, +0.590]"
grok4.1_fast,cluster_2,trait_similarity,39,0.7260635285296541,0.7288643421363069,0.0028008136066528834,-0.012930473181364997,0.018107662460899353,False,False,higher_is_better,BCa,"+0.0028 [-0.0129, +0.0181]"
grok4.1_fast,cluster_3,answer_similarity,40,0.6145312499999998,0.6139062499999997,-0.0006249999999999922,-0.008583891167181983,0.006979166666666617,False,False,higher_is_better,BCa,"-0.0006 [-0.0086, +0.0070]"
grok4.1_fast,cluster_3,facet_similarity,40,0.7030657462123615,0.6988686576760271,-0.004197088536334564,-0.011949193937738372,0.006246163537392247,False,False,higher_is_better,BCa,"-0.0042 [-0.0119, +0.0062]"
grok4.1_fast,cluster_3,mae_35,40,29.376181981406706,29.782892703304572,0.40671072189786883,-0.47243667286049623,1.1667530127066474,False,False,lower_is_better,BCa,"+0.407 [-0.472, +1.167]"
grok4.1_fast,cluster_3,trait_similarity,40,0.7252727840273583,0.7219855647125148,-0.0032872193148433147,-0.015246384797741585,0.008380806939346406,False,False,higher_is_better,BCa,"-0.0033 [-0.0152, +0.0084]"
qwen3,cluster_0,answer_similarity,40,0.636770833333333,0.6343229166666663,-0.0024479166666666247,-0.006458333333333238,0.001302083333333375,False,False,higher_is_better,BCa,"-0.0024 [-0.0065, +0.0013]"
qwen3,cluster_0,facet_similarity,40,0.7447105530553166,0.7418926532562422,-0.002817899799074375,-0.00864162867600695,0.0032886351218333813,False,False,higher_is_better,BCa,"-0.0028 [-0.0086, +0.0033]"
qwen3,cluster_0,mae_35,40,25.16084859452437,25.480654693470132,0.3198060989457637,-0.21670112547365733,0.8350362175960617,False,False,lower_is_better,BCa,"+0.320 [-0.217, +0.835]"
qwen3,cluster_0,trait_similarity,40,0.7704772800513918,0.7649982519196346,-0.005479028131757232,-0.011485158094270115,0.0011660690236112946,False,False,higher_is_better,BCa,"-0.0055 [-0.0115, +0.0012]"
qwen3,cluster_1,answer_similarity,40,0.595677083333333,0.615052083333333,0.019375000000000055,0.012864583333333448,0.02588541666666674,True,True,higher_is_better,BCa,"+0.0194 [+0.0129, +0.0259] *"
qwen3,cluster_1,facet_similarity,40,0.7533752994418557,0.7587365799805839,0.005361280538728178,-0.000859314500648999,0.011657756059164014,False,False,higher_is_better,BCa,"+0.0054 [-0.0009, +0.0117]"
qwen3,cluster_1,mae_35,40,24.224504077047197,23.74201298058933,-0.48249109645786925,-1.0854376496934262,0.11167545688206426,False,False,lower_is_better,BCa,"-0.482 [-1.085, +0.112]"
qwen3,cluster_1,trait_similarity,40,0.7840329179555595,0.7856396114752411,0.0016066935196816096,-0.006896425134183376,0.010495216765881726,False,False,higher_is_better,BCa,"+0.0016 [-0.0069, +0.0105]"
qwen3,cluster_2,answer_similarity,40,0.6781249999999996,0.676614583333333,-0.0015104166666666807,-0.010520833333333333,0.007135416666666686,False,False,higher_is_better,BCa,"-0.0015 [-0.0105, +0.0071]"
qwen3,cluster_2,facet_similarity,40,0.7224460492902999,0.7068726335869073,-0.015573415703392535,-0.027718801456984927,-0.005015261935106212,True,False,higher_is_better,BCa,"-0.0156 [-0.0277, -0.0050]"
qwen3,cluster_2,mae_35,40,27.190425636262024,28.915460123216423,1.7250344869544054,0.6258298455974837,2.978608901182617,True,False,lower_is_better,BCa,"+1.725 [+0.626, +2.979]"
qwen3,cluster_2,trait_similarity,40,0.761993909719856,0.7346819898534032,-0.027311919866452893,-0.04925477573807831,-0.006251925059363984,True,False,higher_is_better,BCa,"-0.0273 [-0.0493, -0.0063]"
qwen3,cluster_3,answer_similarity,40,0.6425520833333331,0.642083333333333,-0.00046875000000005663,-0.008177083333333371,0.007552083333333316,False,False,higher_is_better,BCa,"-0.0005 [-0.0082, +0.0076]"
qwen3,cluster_3,facet_similarity,40,0.6903506823022931,0.6856734167824579,-0.004677265519835239,-0.014554160784681018,0.0039918374983437845,False,False,higher_is_better,BCa,"-0.0047 [-0.0146, +0.0040]"
qwen3,cluster_3,mae_35,40,30.830759646097114,31.239483824269506,0.4087241781723853,-0.5087877972486522,1.780736426942491,False,False,lower_is_better,BCa,"+0.409 [-0.509, +1.781]"
qwen3,cluster_3,trait_similarity,40,0.6997427309594404,0.699195631606385,-0.0005470993530553497,-0.058956888378252706,0.022702345351743213,False,False,higher_is_better,BCa,"-0.0005 [-0.0590, +0.0227]"
